,RSI,MFI,TSI,UO,Stoch,Stoch_Signal,WR,AO,MACD,MACD_signal,MACD_diff,EMA_fast,EMA_slow,Vortex_pos,Vortex_neg,Vortex_diff,Trix,Mass_index,CCI,DPO,KST,KST_sig,KST_diff,Ichimoku_a,Ichimoku_b,Aroon_up,Aroon_down,Aroon_ind,ATR,BBH,BBL,BBM,BBHI,BBLI,KCC,KCH,KCL,KCHI,KCLI,DCH,DCL,DCHI,DCLI,ADI,OBV,OBVM,CMF,FI,EM,VPT,NVI,DR,DLR,CR
count,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,0.0,43.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
mean,0.23883042901431503,0.16730004493230485,0.19525453127383705,0.18239758566338765,0.1967099880425032,0.19189840576511247,0.1967099880425033,0.1999964132592725,0.22209495959334033,0.2059436113102386,0.10274913912950247,0.280367339401905,0.280367339401905,0.19567772082742133,-0.1988192200939694,0.07173161984830667,0.2199330101042347,0.10037242914115908,0.2019233927944008,-0.07588559407122765,0.23190122293265944,0.2045505489246803,0.10013182831378432,0.20107454959511803,0.19373571290315214,0.20453065064513454,-0.11334441548564758,0.18073335435244497,0.2376725214460319,0.2678486388254538,0.24052022419485203,0.25985827567971637,0.12923769717975503,-0.05399718748289095,0.2754128711670387,0.27640514578496633,0.2733222373155321,,0.01349080994670792,0.2697868269835236,0.25193564027098336,0.17689591365821064,-0.08208497609408971,0.17850653663960275,0.09575519650493299,0.14041020574845292,0.14093768358532083,0.07296678742179526,-0.05133689779846077,0.12689557790430106,0.23938430955188153,0.11563927480490825,0.11859279269461175,0.2961905986337565
std,0.4230548541041623,0.36409625723437244,0.30836025755284896,0.3600380595612411,0.3897653679101983,0.3944491600279429,0.3897653679101984,0.2996361385166631,0.3047671698742561,0.2939277200080311,0.2876539602708796,0.4527572137347675,0.4527572137347675,0.38350816000585913,0.38624382673025887,0.17812563067634865,0.3495827550800331,0.24189505720715604,0.40842178340441415,0.21152416257097365,0.3446983362250159,0.32839714150378435,0.27924966508567756,0.4706363063343122,0.4644505833640704,0.3296511251658591,0.3665108501414685,0.3849637575622413,0.41393191299915555,0.45304022914175873,0.4636779053115338,0.46116890447469694,0.23299916965862696,0.22336438953922189,0.4498027279830889,0.4487131206688324,0.4497494865103787,,0.16231310974223814,0.4517505147200947,0.4608290036211338,0.27051889941459584,0.2894918225781304,0.21971442446192146,0.23236200761948286,0.3388098614152782,0.2988449575369116,0.1924006964069774,0.20633316749027467,0.23466526652986475,0.4202968087019081,0.23929168471909612,0.25197410522575675,0.42916556247148135
min,-0.7884028846108947,-0.7408372049590912,-0.5080274147928321,-0.6846397005756865,-0.6717147957938169,-0.7430494385513805,-0.6717147957938169,-0.45574707881186416,-0.442310327860535,-0.39848454346772605,-0.5735935352078699,-0.15544205823416482,-0.15544205823416482,-0.8248137576329676,-0.8248137576329676,-0.2311850680841295,-0.5976843573324951,-0.435113749908167,-0.742728255349693,-0.5735935352078699,-0.5098219135357599,-0.41909412068700674,-0.42866423800521425,-0.2581094300590087,-0.2485002785161139,-0.6223687505796425,-0.8785279742562506,-0.8785279742562506,-0.2234754636286242,-0.1848680119810533,-0.21338047517322797,-0.19795775327644483,-0.3721661161070604,-0.4008488114596357,-0.1601653968451334,-0.16692058702985932,-0.15150049627686352,,-0.145305972394929,-0.17409413141525862,-0.1892396287722574,-0.45602346368883495,-0.521405735312422,-0.28480883437752175,-0.29501952668285314,-0.5045189758846733,-0.5938963775486743,-0.18736216698043445,-0.435113749908167,-0.2677430900671033,-0.13318805704325837,-0.28956469637593196,-0.343336616104028,-0.08758247488987159
25%,-0.09238825433647668,-0.11824344983261811,0.042107913273576096,-0.09065968302632964,-0.10200085254534887,-0.10825640217580032,-0.10200085254534881,0.04475566040803587,0.06335029039769385,0.048613978712246056,-0.10605065751915671,-0.06169113235998187,-0.06169113235998187,-0.08130059884335505,-0.505002129295336,-0.0364567538586469,0.03348711902061214,0.004564270577964442,-0.11092750843632972,-0.18367245166090296,0.0710099113664648,0.01541671986635764,-0.09878546660273219,-0.15720031604625606,-0.1608871215134164,-0.010104415442616586,-0.43462822495259607,-0.10911840536678546,-0.07112678372734134,-0.06514654631145064,-0.09423235044040638,-0.07924800659985652,-0.057285498393245586,-0.21715193385271062,-0.060012319514443635,-0.05976773099891265,-0.06887494682536292,,-0.019044898245300527,-0.060679920360546286,-0.09315737734050274,-0.03515621628764387,-0.28956469637593196,0.0670044771116172,-0.06514654631145064,-0.16692058702985932,-0.060012319514443635,-0.05576486215903926,-0.1279957513857034,-0.02642900352579816,-0.056852349903713545,-0.01874256070521231,-0.02871272383792719,-0.0255364405879748
50%,0.34159440109415373,0.19657485297274627,0.12645286908786685,0.2108686560126951,0.20791039871001907,0.13268556727065378,0.20791039871001915,0.14078236505931968,0.19124889275007995,0.1931126243627086,0.0790242395931981,0.062410907338473876,0.062410907338473876,0.18676177316125395,-0.17335519832297544,0.05424976576680694,0.11661070421486903,0.0870392023927893,0.2454654717965737,-0.07738507657687699,0.18276697214723217,0.192698140948373,0.05724626923249722,-0.040520999909340924,-0.040912464938207466,0.11462723843454399,-0.09754669462688312,0.11965061523680287,0.05569328201420533,0.06818713856419358,0.024788031725344946,0.037653451612882465,0.11060352982168226,-0.06125838300227754,0.04474157231581019,0.04453168289482045,0.044848620649120874,,-0.004667885039936472,0.06304547393379357,0.016626601358282738,0.19231059596322211,-0.12606488134009808,0.16998152627116883,-0.0011858152674288603,0.21465983977307757,0.10237136301430666,0.055488760768620186,-0.08558068321128139,0.05818258316741736,0.0168985858670107,0.05176436778363535,0.04485299807323144,0.045364721311691523
75%,0.5241473235038829,0.4052408516990832,0.40041160568681816,0.44169143816653333,0.4314412708880812,0.42876852167470275,0.4314412708880817,0.3646047036029658,0.3403658803274298,0.2546737690361711,0.32408902803393347,0.9032797302471343,0.9032797302471343,0.46415902794590846,0.06433089009139357,0.11279626711076565,0.39220654467902705,0.12641713239897828,0.47005586352468826,0.00767114236048596,0.37739519932493837,0.28924254629852403,0.3258784246277944,0.8913058847656276,0.8784891375830121,0.47462552940201913,0.16779807050432785,0.5136622212283122,0.7858885953435899,0.8960514478421623,0.9221503553522866,0.9029627016941589,0.28985065486581296,0.027085581599955614,0.8989649587063684,0.890369898523346,0.9064131558206464,,-0.000396743575106813,0.8973746090526307,0.9206621534666556,0.3738097876836031,0.08848408266386752,0.27849936437999956,0.22562404140988168,0.3686437930993193,0.3081016079138465,0.1350531368565902,-0.001475492810812239,0.27252400252784165,0.8759044035753302,0.20095621338464045,0.2185405436690564,0.8784891375830121
max,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
